(11, 3, 2)	2	0	687491	237957	28	28
(4, 5, 2)	1	0	238711	654125	18	17
(5, 4, 2)	2	0	682341	198970	29	29
(4, 6, 2)	1	0	596035	768753	34	33
(6, 4, 2)	2	0	674644	330905	17	17
(4, 7, 2)	1	0	349249	440361	30	29
(7, 4, 2)	2	0	582219	503204	38	38
(4, 8, 2)	1	0	409610	460734	22	21
(8, 4, 2)	2	0	531185	241012	27	27
(4, 9, 2)	1	0	333441	116389	19	18
(9, 4, 2)	2	0	30578	156310	10	10
(4, 10, 2)	1	0	493770	843979	36	35
(10, 4, 2)	1	0	833519	484716	27	26
(4, 11, 2)	1	0	361571	898877	35	34
(11, 4, 2)	2	0	603946	264331	22	22
(5, 6, 2)	2	0	572230	461546	18	18
(6, 5, 2)	2	0	739639	661420	26	26
(5, 7, 2)	2	0	960686	779417	66	66
(7, 5, 2)	2	0	509444	802281	35	35
(5, 8, 2)	2	0	573966	398977	19	19
(8, 5, 2)	2	0	362207	614367	24	24
(5, 9, 2)	2	0	582371	103094	20	20
(9, 5, 2)	1	0	199963	856148	37	36
(5, 10, 2)	2	0	653950	821778	31	31
(10, 5, 2)	1	0	650628	666084	21	20
(5, 11, 2)	1	0	447030	548668	26	25
(11, 5, 2)	2	0	952493	831890	45	45
(6, 7, 2)	2	0	664448	285505	25	25
(7, 6, 2)	0	0	922581	997171	107	107
(6, 8, 2)	1	0	412164	376265	23	22
(8, 6, 2)	2	0	634459	572770	30	30
(6, 9, 2)	2	0	698392	126926	24	24
(9, 6, 2)	1	0	36706	245341	14	13
(6, 10, 2)	2	0	488864	465230	17	17
(10, 6, 2)	1	0	441292	330302	16	15
(6, 11, 2)	1	0	472762	544708	21	20
(11, 6, 2)	2	0	707131	617933	30	30
(7, 8, 2)	0	0	885719	999453	107	107
(8, 7, 2)	1	0	338755	290925	24	23
(7, 9, 2)	2	0	637933	659196	42	42
(9, 7, 2)	2	0	27783	172907	9	9
(7, 10, 2)	0	0	903358	999818	107	107
(10, 7, 2)	2	0	562529	146117	20	20
(7, 11, 2)	2	0	363633	438162	23	23
(11, 7, 2)	1	0	95924	118247	15	14
(8, 9, 2)	1	0	380709	31074	18	17
(9, 8, 2)	2	0	345861	496564	22	22
(8, 10, 2)	2	0	850224	967005	48	48
(10, 8, 2)	0	0	999716	999080	107	107
(8, 11, 2)	1	0	391903	374690	17	16
(11, 8, 2)	2	0	731406	414388	24	24
(9, 10, 2)	2	0	22956	237894	6	6
(10, 9, 2)	2	0	796921	182695	29	29
(9, 11, 2)	2	0	52877	508728	21	21
(11, 9, 2)	2	0	875515	121655	31	31
(10, 11, 2)	2	0	576518	394807	20	20
(11, 10, 2)	2	0	845898	622988	27	27
(0, 1, 3)	1	0	289329	316707	21	20
(1, 0, 3)	2	0	278286	19867	15	15
(0, 2, 3)	1	0	656775	787928	39	38
(2, 0, 3)	2	0	588251	20028	15	15
(0, 3, 3)	1	0	767932	884751	40	39
(3, 0, 3)	2	0	732415	581491	35	35
(0, 4, 3)	1	0	380375	212785	23	22
(4, 0, 3)	2	0	670354	666485	38	38
(0, 5, 3)	1	0	35126	40862	11	10
(5, 0, 3)	2	0	269643	24206	15	15
(0, 6, 3)	1	0	386355	555531	22	21
(6, 0, 3)	2	0	130318	35445	9	9
(0, 7, 3)	1	0	560969	457317	31	30
(7, 0, 3)	2	0	169753	150710	15	15
(0, 8, 3)	1	0	284441	353421	21	20
(8, 0, 3)	2	0	556899	459940	32	32
(0, 9, 3)	1	0	772406	189956	47	46
(9, 0, 3)	2	0	9077	24605	14	14
(0, 10, 3)	1	0	52622	161827	13	12
(10, 0, 3)	2	0	781568	493989	28	28
(0, 11, 3)	1	0	542684	907709	31	30
